ID;name;scoredby_ID
Back Squat;Back Squat;9b3c196f-3c66-4f6c-9800-9709b439695e
Bench Press;Bench Press;9b3c196f-3c66-4f6c-9800-9709b439695e
Burpee;Burpee;666d5503-d7f8-4788-9f78-c50a2c900c05
Burpee Box Jump Over;Burpee Box Jump Over;
Burpee over Bar;Burpee over Bar;
C2 BikeErg;C2 BikeErg;
C2 RowErg;C2 RowErg;ecb28fb0-150d-4eee-bc4a-969e7739bd90
C2 SkiErg;C2 SkiErg;
Clean and Jerk;Clean and Jerk;
Cluster;Cluster (Squat Clean w/ Thruster);
DB Snatches;Dumbbell Snatches;
Dead Lift;Dead Lift;9b3c196f-3c66-4f6c-9800-9709b439695e
Double Unders;Double Unders;
Hang Power Clean;Hang Power Clean;
Hang Squat Clean;Hang Squat Clean;
OH Press;Overhead Press;9b3c196f-3c66-4f6c-9800-9709b439695e
OH Squat;Overhead Squat;
Power Clean;Power Clean;9b3c196f-3c66-4f6c-9800-9709b439695e
Pull Up;Pull Up;1939a104-fd56-49b0-84d6-67d42a7b0d10
Push Up;Push Up / HR Push Up;1939a104-fd56-49b0-84d6-67d42a7b0d10
Run;Run;
Squat Clean;Squat Clean;9b3c196f-3c66-4f6c-9800-9709b439695e
Toes to Bar;Toes to Bar;
Thruster;Thruster;
Wall Balls;Wall Balls;


